City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,flin flon,54.7682,-101.865,-23.09,64,20,2.57,CA,1738355784
84,pemangkat,1.1667,108.9667,25.52,80,100,4.31,ID,1738355786
85,invercargill,-46.4,168.35,15.01,82,100,1.34,NZ,1738355787
86,manta,-0.95,-80.7333,29.88,62,40,6.69,EC,1738355671
87,mejit,10.2753,170.8646,26.73,70,85,6.9,MH,1738355790
88,mumford,5.2618,-0.759,26.7,83,49,4.18,GH,1738355791
89,selfoss,63.9331,-20.9971,5.58,92,100,14.01,IS,1738355792
90,talnakh,69.4865,88.3972,-20.59,97,100,2.93,RU,1738355793
91,misratah,32.3754,15.0925,16.35,68,0,9.96,LY,1738355794
92,gandarbal,34.2333,74.7833,4.88,52,99,0.94,IN,1738355795
93,ponta delgada,37.7333,-25.6667,18.44,82,75,8.75,PT,1738355796
94,ilulissat,69.2167,-51.1,-0.99,55,75,3.6,GL,1738355797
95,sinabang,2.4803,96.3801,25.37,84,71,0.65,ID,1738355798
96,puerto ayora,-0.7393,-90.3518,26.97,87,84,3.13,EC,1738355800
97,bayramaly,37.6185,62.1671,0.86,56,3,2.76,TM,1738355801
98,luz,-19.8014,-45.6856,22.56,87,100,1.97,BR,1738355802
99,imzouren,35.1463,-3.8497,10.6,76,0,2.57,MA,1738355803
100,stanley,54.868,-1.6985,3.07,90,75,0.51,GB,1738355804
101,ribeira grande,38.5167,-28.7,18.22,88,75,6.26,PT,1738355805
102,lubliniec,50.669,18.6844,0.61,85,10,3.36,PL,1738355806
103,brookings,44.3114,-96.7984,1.0,63,0,5.14,US,1738355808
104,antofagasta,-23.65,-70.4,22.6,79,45,3.67,CL,1738355809
105,longyearbyen,78.2186,15.6401,-4.09,80,75,3.6,SJ,1738355810
106,vilyuchinsk,52.9306,158.4028,-2.85,77,99,3.35,RU,1738355811
107,argo,37.6333,22.7333,11.1,80,16,1.26,GR,1738355812
108,ta`u,-14.2336,-169.5144,27.7,78,76,7.65,AS,1738355813
109,punta del este,-34.9667,-54.95,27.06,76,20,6.69,UY,1738355814
110,chengdu,30.6667,104.0667,6.94,87,40,1.0,CN,1738355816
111,kerikeri,-35.2268,173.9474,21.29,65,100,0.76,NZ,1738355817
112,hotan,37.0997,79.9269,-1.92,40,76,1.19,CN,1738355818
113,fale old settlement,-9.3852,-171.2468,28.52,74,32,7.92,TK,1738355819
114,nuku'alofa,-21.1333,-175.2,27.19,89,75,0.51,TO,1738355820
115,port elizabeth,-33.918,25.5701,19.62,93,0,0.89,ZA,1738355821
116,puerto baquerizo moreno,-0.9,-89.6,28.55,70,75,4.12,EC,1738355822
117,christchurch,-43.5333,172.6333,18.3,84,100,1.54,NZ,1738355524
118,wailua homesteads,22.0669,-159.378,23.96,77,20,2.57,US,1738355824
119,traverse city,44.7631,-85.6206,3.04,61,20,5.36,US,1738355826
120,bredasdorp,-34.5322,20.0403,18.6,79,17,2.12,ZA,1738355827
121,ierapetra,35.01,25.7353,13.97,68,3,0.45,GR,1738355828
122,catalao,-18.1658,-47.9464,21.4,94,100,1.83,BR,1738355829
123,colonia,50.9333,6.95,2.76,82,0,2.06,DE,1738355830
124,key west,24.5557,-81.7826,27.0,78,0,7.2,US,1738355831
125,wenchang,30.904,118.4887,6.56,95,100,3.16,CN,1738355832
126,chechelnyk,48.2127,29.3599,7.9,92,100,2.05,UA,1738355833
127,port douglas,-16.4833,145.4667,26.69,85,100,0.97,AU,1738355834
128,porto novo,6.4965,2.6036,28.9,74,56,3.86,BJ,1738355836
129,mbandaka,0.0487,18.2603,25.27,44,100,0.11,CD,1738355837
130,alexandria,31.2156,29.9553,16.02,69,4,3.05,EG,1738355838
131,usogorsk,63.4106,48.6872,-1.92,98,89,1.84,RU,1738355839
132,tumkur,13.3422,77.1017,20.38,80,9,2.9,IN,1738355810
133,puerto ayacucho,5.6639,-67.6236,29.51,59,95,3.51,VE,1738355841
134,matehuala,23.65,-100.65,21.41,44,80,6.65,MX,1738355842
135,sao vicente,-23.9631,-46.3919,24.98,35,100,1.03,BR,1738355843
136,khandyga,62.6667,135.6,-45.6,100,63,0.71,RU,1738355845
137,ziway,7.9333,38.7167,19.05,44,7,6.03,ET,1738355846
138,vadso,70.0744,29.7487,-1.91,93,40,1.54,NO,1738355847
139,hamilton,39.1834,-84.5333,15.9,64,40,9.26,US,1738355575
140,mcalester,34.9334,-95.7697,15.05,44,0,6.69,US,1738355849
141,hawaiian paradise park,19.5933,-154.9731,23.28,100,100,0.0,US,1738355850
142,namdrik,5.5994,168.1028,27.24,78,48,8.87,MH,1738355851
143,ghadamis,30.1337,9.5007,17.7,23,0,10.01,LY,1738355852
144,archangelos,36.2149,28.1149,14.99,83,0,3.53,GR,1738355853
145,tralee,52.2704,-9.7026,5.48,91,100,2.67,IE,1738355855
146,geraldton,-28.7667,114.6,21.23,94,0,3.09,AU,1738355559
147,praia da vitoria,38.7333,-27.0667,18.14,82,75,8.66,PT,1738355857
148,kyabe,9.4515,18.9449,25.77,17,93,2.29,TD,1738355858
149,saipan,15.1355,145.701,28.39,78,40,8.23,MP,1738355859
150,gadzhiyevo,69.2551,33.3362,-3.28,97,100,0.02,RU,1738355860
151,enewetak,11.3474,162.3373,27.06,75,100,7.65,MH,1738355861
152,vetlanda,57.4289,15.0776,-0.58,81,7,2.62,SE,1738355862
153,side,36.7667,31.3885,13.99,66,0,1.5,TR,1738355864
154,ancud,-41.8697,-73.8203,15.76,58,7,4.25,CL,1738355865
155,antonio enes,-16.2325,39.9086,25.61,89,65,2.2,MZ,1738355866
156,nikel,69.4128,30.222,-8.92,99,100,1.03,RU,1738355867
157,thai binh,20.45,106.3333,18.05,97,99,2.49,VN,1738355646
158,olinda,-8.0089,-34.8553,28.85,65,20,4.12,BR,1738355869
159,bismarck,46.8083,-100.7837,-5.75,63,40,8.23,US,1738355870
160,tolanaro,-25.0319,46.9987,25.64,89,95,0.46,MG,1738355871
161,pernio,60.2,23.1333,0.57,98,100,2.65,FI,1738355872
162,freetown,8.484,-13.2299,27.84,74,12,6.69,SL,1738355874
163,kapa'a,22.0752,-159.319,24.71,77,20,2.57,US,1738355876
164,kabinda,-6.1333,24.4833,19.06,94,96,0.64,CD,1738355877
165,preobrazheniye,42.9019,133.9064,-12.03,67,0,3.33,RU,1738355878
166,kodiak,57.79,-152.4072,-2.27,69,100,5.14,US,1738355879
167,minas de marcona,-15.2119,-75.1103,21.89,57,61,7.67,PE,1738355880
168,constantia,44.1833,28.65,7.61,90,100,2.1,RO,1738355881
169,aleksandrov gay,50.147,48.5704,1.01,89,27,2.99,RU,1738355883
170,bamboo flat,11.7,92.7167,26.05,83,40,1.03,IN,1738355884
171,lake wales,27.9014,-81.5859,28.94,45,0,3.6,US,1738355673
172,lebu,-37.6167,-73.65,16.64,78,7,7.64,CL,1738355886
173,merizo village,13.2658,144.6691,27.31,83,44,10.03,GU,1738355887
174,lompoc,34.6391,-120.4579,14.73,66,0,4.63,US,1738355888
175,sale,34.0389,-6.8166,8.38,93,20,3.6,MA,1738355889
176,aasiaat,68.7098,-52.8699,-3.97,67,100,9.97,GL,1738355890
177,umm kaddadah,13.6017,26.6876,17.23,24,6,5.46,SD,1738355892
178,petropavlovsk-kamchatsky,53.0452,158.6483,-3.67,39,75,6.0,RU,1738355893
179,siwa oasis,29.2041,25.5195,15.73,48,100,3.58,EG,1738355894
180,nadi,-17.8,177.4167,25.0,88,75,1.03,FJ,1738355895
181,namibe,-15.1961,12.1522,22.59,78,99,2.27,AO,1738355896
182,college,64.8569,-147.8028,-33.85,68,0,0.0,US,1738355898
183,george town,5.4112,100.3354,26.96,59,20,1.54,MY,1738355900
184,newman,37.3138,-121.0208,12.25,75,100,3.13,US,1738355901
185,karak city,31.1637,35.762,6.62,95,0,3.67,JO,1738355902
186,san pedro pochutla,15.7333,-96.4667,31.84,39,0,3.31,MX,1738355903
187,parintins,-2.6283,-56.7358,28.85,74,100,1.31,BR,1738355904
188,acarau,-2.8856,-40.12,27.03,77,84,4.92,BR,1738355905
189,happy valley-goose bay,53.3168,-60.3315,-15.83,47,75,6.17,CA,1738355906
190,tutoia,-2.7619,-42.2744,25.98,88,100,3.99,BR,1738355907
191,mount gambier,-37.8333,140.7667,12.18,86,5,2.61,AU,1738355908
192,richards bay,-28.783,32.0377,24.95,92,100,1.82,ZA,1738355910
193,as sulayyil,20.4607,45.5779,14.28,42,0,3.83,SA,1738355911
194,poronaysk,49.2167,143.1167,-14.06,89,25,3.51,RU,1738355899
195,klaksvik,62.2266,-6.589,6.38,86,100,13.18,FO,1738355913
196,trincomalee,8.5711,81.2335,26.76,81,42,5.15,LK,1738355914
197,gannan,47.9147,123.5031,-23.43,88,100,2.03,CN,1738355915
198,touros,-5.1989,-35.4608,27.67,64,6,5.71,BR,1738355916
199,san julian,21.0167,-102.1667,24.59,17,12,2.69,MX,1738355917
200,angra do heroismo,38.65,-27.2167,18.34,82,75,8.94,PT,1738355920
201,solleftea,63.1667,17.2667,-9.08,80,14,4.0,SE,1738355921
202,tazacorte,28.629,-17.9293,18.54,62,75,6.69,ES,1738355922
203,tamanrasset,22.785,5.5228,12.95,19,0,2.57,DZ,1738355923
204,ponce,18.073,-66.6185,28.38,73,30,4.76,PR,1738355924
205,barra de santo antonio,-9.4047,-35.5072,26.89,66,57,4.14,BR,1738355925
206,bel ombre,-4.6167,55.4167,27.91,78,40,2.57,SC,1738355926
207,alakurtti,66.9672,30.3491,-5.16,98,99,1.4,RU,1738355928
208,adrar,20.5022,-10.0711,16.42,20,0,4.99,MR,1738355929
209,wewak,-3.5534,143.6268,25.25,91,100,1.89,PG,1738355930
210,whitehorse,60.7161,-135.0538,-22.57,63,75,4.63,CA,1738355931
211,piestany,48.5948,17.8259,2.39,75,20,2.06,SK,1738355932
212,masterton,-40.9597,175.6575,19.37,68,100,0.99,NZ,1738355933
213,arteche,12.2645,125.4048,25.08,91,64,3.12,PH,1738355934
214,mossel bay,-34.1831,22.146,19.9,72,14,2.96,ZA,1738355935
215,kolpashevo,58.3131,82.9089,-21.6,98,91,0.51,RU,1738355937
216,durres,41.3231,19.4414,9.1,78,71,1.3,AL,1738355938
217,kisarawe,-6.9,39.0667,26.89,74,40,4.63,TZ,1738355939
218,susuman,62.7833,148.1667,-43.56,100,82,0.25,RU,1738355940
219,marathon,44.9,-89.7668,4.25,54,40,6.17,US,1738355942
220,kathu,7.9178,98.3332,23.9,73,87,2.17,TH,1738355943
221,al marj,32.488,20.8317,9.58,75,66,2.28,LY,1738355944
222,chonchi,-42.6128,-73.8092,17.64,46,5,0.8,CL,1738355946
223,dahab,28.501,34.5134,17.41,52,0,6.27,EG,1738355947
224,st. john's,47.5649,-52.7093,-4.36,71,75,11.83,CA,1738355948
225,kavaratti,10.5669,72.642,27.45,74,29,3.35,IN,1738355949
226,teguise,29.0605,-13.564,16.12,59,75,9.77,ES,1738355950
227,veraval,20.9,70.3667,18.28,69,31,5.41,IN,1738355951
228,benguela,-12.5763,13.4055,25.46,82,100,1.83,AO,1738355952
229,ambovombe,-25.1667,46.0833,25.23,81,99,1.71,MG,1738355953
230,vilyuysk,63.7553,121.6247,-39.28,100,98,1.19,RU,1738355955
231,rongelap,11.1635,166.8941,26.22,69,92,6.79,MH,1738355956
232,mukalla,14.5425,49.1242,22.06,66,5,1.19,YE,1738355957
233,georgetown,5.4112,100.3354,26.96,59,20,1.54,MY,1738355958
234,san antonio de pale,-1.4014,5.6325,27.17,76,72,2.93,GQ,1738355959
235,port alfred,-33.5906,26.891,20.66,86,2,0.45,ZA,1738355960
236,anadyr,64.75,177.4833,-20.56,76,40,5.0,RU,1738355961
237,lazaro cardenas,17.9583,-102.2,28.46,51,0,5.35,MX,1738355962
238,nemuro,43.3236,145.575,-2.1,77,77,6.95,JP,1738355964
239,cabo san lucas,22.8909,-109.9124,22.64,41,0,4.12,MX,1738355516
240,callao,-12.0667,-77.15,22.16,78,20,5.14,PE,1738355966
241,pimenta bueno,-11.6725,-61.1936,28.73,75,99,1.18,BR,1738355967
242,yoloten,37.2989,62.3597,1.87,58,2,2.92,TM,1738355968
243,punxsutawney,40.9437,-78.9709,8.57,94,100,1.09,US,1738355969
244,namie,37.4833,141.0,-0.01,75,100,3.22,JP,1738355970
245,'ain boucif,35.8912,3.1585,3.24,89,57,6.8,DZ,1738355971
246,nar'yan-mar,67.6713,53.087,-15.56,98,70,3.62,RU,1738355972
247,dauphin,51.1494,-100.0502,-23.92,70,0,2.57,CA,1738355974
248,ad dawadimi,24.5077,44.3924,10.64,24,0,3.89,SA,1738355975
249,surigao,9.7839,125.4889,25.92,85,58,5.52,PH,1738355976
250,arkhangel'sk,64.5401,40.5433,0.06,100,75,2.0,RU,1738355977
251,kegeyli shahar,42.7767,59.6078,-0.04,77,5,2.64,UZ,1738355978
252,acajutla,13.5928,-89.8275,29.6,59,1,3.92,SV,1738355979
253,hithadhoo,-0.6,73.0833,27.44,75,90,3.89,MV,1738355980
254,owando,-0.4819,15.8999,24.38,48,22,1.54,CG,1738355981
255,changde,29.0464,111.6783,4.63,89,100,4.16,CN,1738355983
256,hadibu,12.65,54.0333,22.38,73,90,5.79,YE,1738355984
257,turpan,42.9333,89.1667,-2.67,42,66,1.31,CN,1738355985
258,juneau,58.3019,-134.4197,-6.0,74,75,3.98,US,1738355986
259,sola,-13.8833,167.55,26.15,92,100,13.37,VU,1738355987
260,al jawf,29.5,38.75,11.0,35,0,3.7,SA,1738355988
261,kingston,17.997,-76.7936,30.09,66,40,7.2,JM,1738355973
262,santana do acarau,-3.4606,-40.2122,25.68,86,81,2.12,BR,1738355990
263,aksu,41.1231,80.2644,-7.33,81,3,0.92,CN,1738355992
264,belmonte,-15.8631,-38.8828,26.45,79,20,3.4,BR,1738355993
265,rabo de peixe,37.8,-25.5833,17.77,99,75,8.75,PT,1738355994
266,shahba,32.8551,36.629,6.17,96,29,6.47,SY,1738355995
267,magadan,59.5667,150.8,-24.96,81,1,3.42,RU,1738355996
268,charlottetown,46.2352,-63.1267,-3.71,92,100,4.63,CA,1738355998
269,kaspiyskiy,45.3929,47.3707,1.76,85,6,4.97,RU,1738355999
270,kloulklubed,7.0419,134.2556,27.85,79,100,10.72,PW,1738356000
271,midvagur,62.0511,-7.1939,6.46,93,100,7.72,FO,1738356002
272,magistral'nyy,56.1725,107.4458,-26.58,97,100,0.61,RU,1738356003
273,isla del bosque,22.7333,-105.85,23.45,43,0,4.87,MX,1738356004
274,yekaterinovka,52.0508,44.3451,0.47,99,100,1.81,RU,1738356005
275,new norfolk,-42.7826,147.0587,16.07,75,94,0.7,AU,1738356006
276,flying fish cove,-10.4217,105.6791,24.82,94,100,6.17,CX,1738356007
